nodesNumber	16
connectionsNumber	30
nodeNames	canSendMessages
10	false
11	true
12	true
13	true
20	false
21	true
22	true
23	true
30	false
31	true
32	true
33	true
40	false
41	true
42	true
43	true
nodeAName	nodeBName	packetsPerSecond	startTime	stopTime
10	20	1	0	1500
10	30	1	0	1500
10	40	1	0	1500
20	30	1	0	1500
20	40	1	0	1500
30	40	1	0	1500
11	10	1	0	1500
11	12	1	0	1500
11	13	1	0	1500
12	10	1	0	1500
12	13	1	0	1500
13	10	1	0	1500
21	20	1	0	1500
21	22	1	0	1500
21	23	1	0	1500
22	20	1	0	1500
22	23	1	0	1500
23	20	1	0	1500
31	30	1	0	1500
31	32	1	0	1500
31	33	1	0	1500
32	30	1	0	1500
32	33	1	0	1500
33	30	1	0	1500
41	40	1	0	1500
41	42	1	0	1500
41	43	1	0	1500
42	40	1	0	1500
42	43	1	0	1500
43	40	1	0	1500
